Female,Accounting,Accountant I,26
Male,Accounting,Accountant I,39
Female,Accounting,Accountant II,37
Male,Accounting,Accountant II,32
Non-Conforming,Accounting,Accountant II,2
Female,Accounting,Accountant III,37
Male,Accounting,Accountant III,34
Non-Conforming,Accounting,Accountant III,3
Female,Accounting,Accountant IV,30
Male,Accounting,Accountant IV,39
Non-Conforming,Accounting,Accountant IV,2
Female,Accounting,Accounting Assistant I,36
Male,Accounting,Accounting Assistant I,38
Non-Conforming,Accounting,Accounting Assistant I,2
Female,Accounting,Accounting Assistant II,27
Male,Accounting,Accounting Assistant II,45
Non-Conforming,Accounting,Accounting Assistant II,2
Female,Accounting,Accounting Assistant III,29
Male,Accounting,Accounting Assistant III,33
Non-Conforming,Accounting,Accounting Assistant III,2
Female,Accounting,Accounting Assistant IV,36
Male,Accounting,Accounting Assistant IV,36
Female,Accounting,Actuary,11
Male,Accounting,Actuary,11
Female,Accounting,Administrative Assistant I,2
Male,Accounting,Administrative Assistant I,3
Non-Conforming,Accounting,Administrative Assistant I,1
Female,Accounting,Administrative Assistant II,3
Female,Accounting,Administrative Assistant III,6
Male,Accounting,Administrative Assistant III,2
Female,Accounting,Administrative Assistant IV,2
Male,Accounting,Administrative Assistant IV,3
Female,Accounting,Administrative Officer,10
Male,Accounting,Administrative Officer,11
Non-Conforming,Accounting,Administrative Officer,1
Female,Accounting,Budget/Accounting Analyst I,67
Male,Accounting,Budget/Accounting Analyst I,59
Non-Conforming,Accounting,Budget/Accounting Analyst I,2
Female,Accounting,Budget/Accounting Analyst II,58
Male,Accounting,Budget/Accounting Analyst II,78
Non-Conforming,Accounting,Budget/Accounting Analyst II,3
Female,Accounting,Budget/Accounting Analyst III,62
Male,Accounting,Budget/Accounting Analyst III,66
Non-Conforming,Accounting,Budget/Accounting Analyst III,4
Female,Accounting,Budget/Accounting Analyst IV,65
Male,Accounting,Budget/Accounting Analyst IV,72
Non-Conforming,Accounting,Budget/Accounting Analyst IV,4
Female,Accounting,Cost Accountant,111
Male,Accounting,Cost Accountant,134
Non-Conforming,Accounting,Cost Accountant,10
Female,Accounting,Financial Advisor,13
Male,Accounting,Financial Advisor,12
Non-Conforming,Accounting,Financial Advisor,2
Female,Accounting,Financial Analyst,27
Male,Accounting,Financial Analyst,22
Non-Conforming,Accounting,Financial Analyst,2
Female,Accounting,Payment Adjustment Coordinator,5
Male,Accounting,Payment Adjustment Coordinator,11
Female,Accounting,Senior Cost Accountant,117
Male,Accounting,Senior Cost Accountant,138
Non-Conforming,Accounting,Senior Cost Accountant,8
Female,Accounting,Senior Financial Analyst,11
Male,Accounting,Senior Financial Analyst,14
Female,Accounting,Staff Accountant I,161
Male,Accounting,Staff Accountant I,207
Non-Conforming,Accounting,Staff Accountant I,7
Female,Accounting,Staff Accountant II,29
Male,Accounting,Staff Accountant II,36
Non-Conforming,Accounting,Staff Accountant II,3
Female,Accounting,Staff Accountant III,34
Male,Accounting,Staff Accountant III,40
Non-Conforming,Accounting,Staff Accountant III,8
Female,Accounting,Staff Accountant IV,44
Male,Accounting,Staff Accountant IV,37
Non-Conforming,Accounting,Staff Accountant IV,3
Female,Accounting,Structural Engineer,13
Male,Accounting,Structural Engineer,12
Female,Accounting,Tax Accountant,95
Male,Accounting,Tax Accountant,138
Non-Conforming,Accounting,Tax Accountant,5
Female,Accounting,VP Accounting,30
Male,Accounting,VP Accounting,35
Female,Auditing,Internal Auditor,20
Male,Auditing,Internal Auditor,20
Female,Business Development,Business Analyst,216
Male,Business Development,Business Analyst,245
Non-Conforming,Business Development,Business Analyst,18
Female,Business Development,Business Development Manager,1
Male,Business Development,Business Development Manager,4
Female,Business Development,Human Resources Analyst II,1
Male,Business Development,Human Resources Analyst II,1
Female,Business Development,Research Assistant I,107
Male,Business Development,Research Assistant I,134
Non-Conforming,Business Development,Research Assistant I,6
Female,Business Development,Research Assistant II,291
Male,Business Development,Research Assistant II,315
Non-Conforming,Business Development,Research Assistant II,18
Female,Business Development,Research Assistant III,4
Male,Business Development,Research Assistant III,6
Female,Engineering,Administrative Assistant I,3
Male,Engineering,Administrative Assistant I,1
Female,Engineering,Administrative Assistant II,2
Male,Engineering,Administrative Assistant II,1
Non-Conforming,Engineering,Administrative Assistant II,1
Female,Engineering,Administrative Assistant III,3
Male,Engineering,Administrative Assistant III,3
Male,Engineering,Administrative Assistant IV,1
Female,Engineering,Administrative Officer,13
Male,Engineering,Administrative Officer,11
Female,Engineering,Analog Circuit Design manager,19
Male,Engineering,Analog Circuit Design manager,18
Non-Conforming,Engineering,Analog Circuit Design manager,1
Female,Engineering,Analyst Programmer,142
Male,Engineering,Analyst Programmer,158
Non-Conforming,Engineering,Analyst Programmer,9
Female,Engineering,Assistant Manager,7
Male,Engineering,Assistant Manager,8
Male,Engineering,Associate Professor,1
Female,Engineering,Automation Specialist I,5
Male,Engineering,Automation Specialist I,9
Non-Conforming,Engineering,Automation Specialist I,2
Female,Engineering,Automation Specialist II,7
Male,Engineering,Automation Specialist II,11
Non-Conforming,Engineering,Automation Specialist II,2
Female,Engineering,Automation Specialist III,3
Male,Engineering,Automation Specialist III,2
Female,Engineering,Automation Specialist IV,6
Male,Engineering,Automation Specialist IV,4
Female,Engineering,Business Analyst,23
Male,Engineering,Business Analyst,17
Non-Conforming,Engineering,Business Analyst,4
Female,Engineering,Business Systems Development Analyst,128
Male,Engineering,Business Systems Development Analyst,143
Non-Conforming,Engineering,Business Systems Development Analyst,13
Female,Engineering,Chief Design Engineer,26
Male,Engineering,Chief Design Engineer,29
Non-Conforming,Engineering,Chief Design Engineer,2
Female,Engineering,Computer Systems Analyst I,38
Male,Engineering,Computer Systems Analyst I,33
Non-Conforming,Engineering,Computer Systems Analyst I,2
Female,Engineering,Computer Systems Analyst II,32
Male,Engineering,Computer Systems Analyst II,43
Female,Engineering,Computer Systems Analyst III,27
Male,Engineering,Computer Systems Analyst III,32
Non-Conforming,Engineering,Computer Systems Analyst III,2
Female,Engineering,Computer Systems Analyst IV,24
Male,Engineering,Computer Systems Analyst IV,32
Female,Engineering,Data Coordiator,132
Male,Engineering,Data Coordiator,146
Non-Conforming,Engineering,Data Coordiator,12
Female,Engineering,Data Visualization Specialist,161
Male,Engineering,Data Visualization Specialist,193
Non-Conforming,Engineering,Data Visualization Specialist,12
Female,Engineering,Database Administrator I,30
Male,Engineering,Database Administrator I,33
Non-Conforming,Engineering,Database Administrator I,3
Female,Engineering,Database Administrator II,32
Male,Engineering,Database Administrator II,39
Non-Conforming,Engineering,Database Administrator II,1
Female,Engineering,Database Administrator III,38
Male,Engineering,Database Administrator III,29
Non-Conforming,Engineering,Database Administrator III,2
Female,Engineering,Database Administrator IV,35
Male,Engineering,Database Administrator IV,37
Non-Conforming,Engineering,Database Administrator IV,2
Female,Engineering,Design Engineer,13
Male,Engineering,Design Engineer,9
Female,Engineering,Developer I,42
Male,Engineering,Developer I,27
Non-Conforming,Engineering,Developer I,4
Female,Engineering,Developer II,26
Male,Engineering,Developer II,23
Non-Conforming,Engineering,Developer II,5
Female,Engineering,Developer III,27
